what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1297097417328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097417345
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1297097422394
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1297097429454
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1297097440052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097440061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097442947
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1297097446709
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297097448071
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297097451212
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1297097453267
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097453933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097454213
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097460222
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097471283
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1297097473720
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297097626714
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297097630268
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097633583
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097636570
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1297097640057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097647467
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297097649820
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1297097651679
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1297097769915
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297097775320
